;Vector;
;Time Elapsed;Average Time;
Insert First;105188.1016;10.5188
Extract First;130365.4922;13.0365
Insert Last;57.5000;0.0057
Extract Last;64.0000;0.0064
Insert At;29106.7988;2.9107
Extract At;166669.2031;16.6669
Concat 1;6828.7998;0.6829
Concat 2;7901.5000;0.7902
Concat 3;8360.2998;0.8360
;List;
;Time Elapsed;Average Time;
Insert First;6717.1001;0.6717
Extract First;6632.3003;0.6632
Insert Last;7096.0996;0.7096
Extract Last;76944.8984;7.6945
Insert At;42710.8984;4.2711
Extract At;7102.8999;0.7103
Concat 1;88002.2031;8.8002
Concat 2;86853.3047;8.6853
Concat 3;86398.5000;8.6398
;DList;
;Time Elapsed;Average Time;
Insert First;6858.4004;0.6858
Extract First;6737.0000;0.6737
Insert Last;7122.8999;0.7123
Extract Last;6880.7998;0.6881
Insert At;41220.0977;4.1220
Extract At;8486.8994;0.8487
Concat 1;84811.6016;8.4812
Concat 2;82802.2969;8.2802
Concat 3;83686.3984;8.3686
